"month","country","date","new_cases_month","index","NI_diff","mean_half_year","total_sum","F_Vero","B_Vero","infection","F_Vero_per_month","F_W_V","F_WC_V","F_B_V","F_BC_V","F_I_BWP","F_I_WP","F_I_BCWP","cut_off","NPI","T_Vero","P_Vero","travel","travel_route","GR_NCM_log_diff","F_I","total_case","sub_lineage","sub_gisaid","sub_richness","sub_evenness","month1","year","travel2"
"2019-12","Argentina",2019-12-01,NA,1,-1332687,16851,9708420,0,0,0,0,0,0,0,0,0,0,0,FALSE,NA,0,0,NA,56,NA,0,NA,NA,NA,NA,NA,12,2019,4.02535169073515
"2020-01","Argentina",2020-01-01,NA,1,-1332687,16851,9708420,0,0,0,0,0,0,0,0,0,0,0,FALSE,3.22548387096774,0,0,NA,1,NA,0,NA,0,0,1,NA,1,2020,0
"2020-02","Argentina",2020-02-01,NA,1,-1332687,16851,9708420,0,0,0,0,0,0,0,0,0,0,0,FALSE,11.11,0,0,NA,382,NA,0,NA,NA,NA,NA,NA,2,2020,5.94542060860658
"2020-03","Argentina",2020-03-01,1054,1,-1332687,16851,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,51.7025806451613,0,0,9431,3144,NA,0,1054,1.74060233735829,1.43774005332347,10,0.755933990302607,3,2020,8.0532511535491
"2020-04","Argentina",2020-04-01,3374,1,-1332687,16851,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,98.457,0,0,10014,3338,1.16350653400461,0,4428,1.58503663191119,1.03069173987423,10,0.688372662853547,4,2020,8.11312710422178
"2020-05","Argentina",2020-05-01,12423,1,-1332687,16851,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,90.2625806451613,0,0,10587,3529,1.30345060910776,0,16851,1.11419306456242,0.683926077012535,8.45,0.522953192480522,5,2020,8.16876982367527
"2020-06","Argentina",2020-06-01,47679,2,-1315836,1407682,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,89.1366666666667,0,0,10483,3494,1.34494145615125,0,64530,1.29715137572155,0.713982993905607,9,0.59035903252736,6,2020,8.158802490694
"2020-07","Argentina",2020-07-01,126772,2,-1315836,1407682,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,91.8738709677419,0,0,10591,3530,0.977899148046692,0,191302,1.36901772001613,0.738223082560249,10,0.594556841430775,7,2020,8.16905314992734
"2020-08","Argentina",2020-08-01,226433,2,-1315836,1407682,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,88.2593548387097,0,0,10830,3610,0.580058897994943,0,417735,1.4608231829439,0.931153313093514,13.49,0.561788277785933,8,2020,8.19146305132693
"2020-09","Argentina",2020-09-01,333266,2,-1315836,1407682,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,87.96,0,0,10430,3446,0.386491874484852,0,751001,1.57210396165929,1.12318757444987,8,0.756022196415919,9,2020,8.14496941708788
"2020-10","Argentina",2020-10-01,415923,2,-1315836,1407682,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,83.9587096774193,0,0,8882,2653,0.22155917706573,0,1166924,1.6504902443404,1.06238424101543,10,0.716798805552184,10,2020,7.88344635413774
"2020-11","Argentina",2020-11-01,257609,2,-1315836,1407682,9708420,0,0,0,0,0,0,0,0,0,0,0,TRUE,79.6316666666667,0,0,5857,1721,-0.479057215466927,0,1424533,1.44965257155928,0.73961474267297,11,0.604552078651676,11,2020,7.45066079621154
"2020-12","Argentina",2020-12-01,200981,3,74995,2357251,9708420,0,0,73.7297842944255,0,0,0,0,0,0,0,0,TRUE,79.17,0.035,0,6957,1824,-0.248232555280184,0,1625514,1.82535704164849,0.764593545772894,15,0.674048450396358,12,2020,7.50878717063428
"2021-01","Argentina",2021-01-01,301725,3,74995,2357251,9708420,0.0854545454545455,0,73.7297842944255,0.0854545454545455,0.0854545454545455,0,0.0854545454545455,0,0.0630054520334182,0.0630054520334182,0,TRUE,79.17,0.561333333333333,0.58,6258,1754,0.406305630276064,0.0630054520334182,1927239,2.09174301545628,0.621086374555245,16,0.754436818803227,1,2021,7.46965417293213
"2021-02","Argentina",2021-02-01,180126,3,74995,2357251,9708420,0.493076923076923,0,73.7297842944255,0.407622377622378,0.493076923076923,0.0854545454545455,0.493076923076923,0.0854545454545455,0.363544551790206,0.363544551790206,0.0630054520334182,TRUE,78.4392857142857,1.40730769230769,0.914615384615385,7074,1736,-0.515859400499478,0.363544551790206,2107365,2.04382724279001,0.800285333605879,14,0.774453521662591,2,2021,7.4593388952203
"2021-03","Argentina",2021-03-01,241456,3,74995,2357251,9708420,1.075,0,73.7297842944255,0.581923076923077,1.075,0.493076923076923,1.075,0.493076923076923,0.792595181165074,0.792595181165074,0.363544551790206,TRUE,72.6993548387097,5.53533333333333,4.45933333333333,6597,1788,0.293030655871711,0.792595181165074,2348821,2.55728141227666,0.889412704046728,21.83,0.829459243417073,3,2021,7.48885295573346
"2021-04","Argentina",2021-04-01,628542,3,74995,2357251,9708420,1.71066666666667,0,73.7297842944255,0.63566666666667,1.71066666666667,1.075,1.71066666666667,1.075,1.26127084332997,1.26127084332997,0.792595181165074,TRUE,76.385,12.865,11.1526666666667,5802,1670,0.956715589697021,1.26127084332997,2977363,2.39345394826691,0.751956210200552,22.96,0.764545422781754,4,2021,7.4205789054108
"2021-05","Argentina",2021-05-01,804421,3,74995,2357251,9708420,4.07741935483871,0,73.7297842944255,2.36675268817204,4.07741935483871,1.71066666666667,4.07741935483871,1.71066666666667,3.00627249510174,3.00627249510174,1.26127084332997,TRUE,82.6906451612903,21.9258064516129,17.848064516129,5901,1734,0.246719912399234,3.00627249510174,3781784,1.97249317925977,0.392350819960365,16.09,0.710991847189239,5,2021,7.45818615734049
"2021-06","Argentina",2021-06-01,688590,4,1024564,1548964,9708420,7.53466666666667,0,73.7297842944255,3.45724731182796,7.53466666666667,4.07741935483871,7.53466666666667,4.07741935483871,5.55529348063732,5.55529348063732,3.00627249510174,TRUE,77.8093333333333,36.6073333333333,29.0736666666667,5836,1710,-0.155476735392471,5.55529348063732,4470374,1.59608425357625,0.251745592143996,12.83,0.629146179565866,6,2021,7.44424864949671
"2021-07","Argentina",2021-07-01,459390,4,1024564,1548964,9708420,11.7106451612903,0,73.7297842944255,4.17597849462363,11.6251906158358,7.53466666666667,11.6251906158358,7.53466666666667,8.5712279648715,8.5712279648715,5.55529348063732,TRUE,75,57.9932258064516,46.2829032258065,6623,1798,-0.404746506084754,8.63423341690491,4929764,2.08488541522676,0.548571828513522,23.64,0.660009807572431,7,2021,7.49443021503157
"2021-08","Argentina",2021-08-01,255856,4,1024564,1548964,9708420,22.9233333333333,0,73.7297842944255,11.212688172043,22.4302564102564,11.6251906158358,22.4302564102564,11.6251906158358,16.5377796679686,16.5377796679686,8.5712279648715,TRUE,75.75,81.4003333333333,58.4766666666667,6907,1820,-0.585284736278139,16.9013242197588,5185620,2.22094733637684,0.634521954635214,30.27,0.651966780645131,8,2021,7.50659178007084
"2021-09","Argentina",2021-09-01,71282,4,1024564,1548964,9708420,41.255,0,73.7297842944255,18.3316666666667,40.18,22.4302564102564,40.18,22.4302564102564,29.6246273295002,29.6246273295002,16.5377796679686,TRUE,75.93,104.495666666667,63.279,7195,1860,-1.27797094508677,30.4172225106652,5256902,2.71989012101361,0.814167621399764,32.46,0.781970929592167,9,2021,7.52833176670725
"2021-10","Argentina",2021-10-01,31905,4,1024564,1548964,9708420,53.4189285714286,0,73.7297842944255,12.1639285714286,51.7082619047619,40.18,51.7082619047619,40.18,38.1243899647776,38.1243899647776,29.6246273295002,TRUE,42.59,122.297142857143,69.0653571428571,8025,1838,-0.803881103810006,39.3856608081075,5288807,2.3969136431371,0.845559337968077,23.78,0.756868789338176,10,2021,7.51643330291563
"2021-11","Argentina",2021-11-01,41941,4,1024564,1548964,9708420,60.5996,3.19416666666667,73.7297842944255,7.1806714285714,56.5221806451613,51.7082619047619,59.716347311828,51.7082619047619,44.0287340615207,41.6736818681829,38.1243899647776,TRUE,42.59,140.3644,78.2284,10163,2039,0.273501131455285,44.6799543632847,5330748,2.40050102939982,0.299530786445644,22.53,0.771480878520487,11,2021,7.62021477057445
