"month","country","NI_diff","F_I_BWP","F_I","GR_NCM_log_diff","code","sub_lineage","sub_richness","sub_evenness"
"2019-12","Argentina",-1332687,0,0,NA,NA,NA,NA,NA
"2020-01","Argentina",-1332687,0,0,NA,"ARG",0,1,NA
"2020-02","Argentina",-1332687,0,0,NA,"ARG",NA,NA,NA
"2020-03","Argentina",-1332687,0,0,NA,"ARG",1.74060233735829,10,0.755933990302607
"2020-04","Argentina",-1332687,0,0,1.16350653400461,"ARG",1.52968399575131,7.31,0.77403552413712
"2020-05","Argentina",-1332687,0,0,1.30345060910776,"ARG",1.04813923539051,5.8,0.602200655791954
"2020-06","Argentina",-1315836,0,0,1.34494145615125,"ARG",1.24561280176782,7.12,0.639045201282548
"2020-07","Argentina",-1315836,0,0,0.977899148046692,"ARG",1.27929582804171,7.41,0.641350625100436
"2020-08","Argentina",-1315836,0,0,0.580058897994943,"ARG",1.35164570921514,8.02,0.654864996520479
"2020-09","Argentina",-1315836,0,0,0.386491874484852,"ARG",1.55686208662646,7.06,0.800153649349513
"2020-10","Argentina",-1315836,0,0,0.22155917706573,"ARG",1.58390931527556,7.79,0.775675584219104
"2020-11","Argentina",-1315836,0,0,-0.479057215466927,"ARG",1.38860062395814,7.82,0.680959265603015
"2020-12","Argentina",74995,0,0,-0.248232555280184,"ARG",1.71319372657821,10.84,0.721165358247124
"2021-01","Argentina",74995,0.0630054520334182,0.0630054520334182,0.406305630276064,"ARG",1.99912462825807,12.89,0.782963237616529
"2021-02","Argentina",74995,0.363544551790206,0.363544551790206,-0.515859400499478,"ARG",1.99504853617598,12.37,0.794108423779415
"2021-03","Argentina",74995,0.792595181165074,0.792595181165074,0.293030655871711,"ARG",2.39450871261658,15.62,0.872801748344199
"2021-04","Argentina",74995,1.26127084332997,1.26127084332997,0.956715589697021,"ARG",2.18180918226347,13.17,0.849555654137553
"2021-05","Argentina",74995,3.00627249510174,3.00627249510174,0.246719912399234,"ARG",1.86145641804237,10.73,0.787686619829832
"2021-06","Argentina",1024564,5.55529348063732,5.55529348063732,-0.155476735392471,"ARG",1.51755097233146,7.17,0.77834800064948
"2021-07","Argentina",1024564,8.5712279648715,8.63423341690491,-0.404746506084754,"ARG",1.87736771799807,12.54,0.744529992508439
"2021-08","Argentina",1024564,16.5377796679686,16.9013242197588,-0.585284736278139,"ARG",1.95936123150973,14.44,0.737210219694648
"2021-09","Argentina",1024564,29.6246273295002,30.4172225106652,-1.27797094508677,"ARG",2.44254355265426,18.15,0.844426092184209
"2021-10","Argentina",1024564,38.1243899647776,39.3856608081075,-0.803881103810006,"ARG",2.24290873712305,14.05,0.851185177796882
"2021-11","Argentina",1024564,44.0287340615207,44.6799543632847,0.273501131455285,"ARG",2.23439217220107,14.62,0.835405772499419
"2021-12","Argentina",216277,50.6143626137493,50.6143626137493,2.04342971331314,"ARG",1.82702238534574,12.89,0.716567448143451
"2022-01","Argentina",216277,54.6700452160421,54.6700452160421,2.13025412362097,"ARG",2.08676875496392,10,0.906272155288949
"2022-02","Argentina",216277,57.4130994539757,57.4130994539757,-1.65228011782708,"ARG",NA,NA,NA
"2019-12","Australia",-52914,0,0,NA,NA,NA,NA,NA
"2020-01","Australia",-52914,0,0,NA,"AUS",1.27208986882029,4,0.917618872656059
"2020-02","Australia",-52914,0,0,0.575364144903562,"AUS",1.53060524205894,6,0.85424705064814
"2020-03","Australia",-52914,0,0,5.64677110882769,"AUS",2.36824342598689,17.09,0.836095738724568
"2020-04","Australia",-52914,0,0,-0.719970424810738,"AUS",2.04323288530341,14.63,0.763974261352278
"2020-05","Australia",-52914,0,0,-1.6217471629077,"AUS",1.90380200896977,11.31,0.787281553711282
"2020-06","Australia",-45712,0,0,0.49882732569919,"AUS",1.19044478963302,8.83,0.549162530804983
"2020-07","Australia",-45712,0,0,2.56773100042341,"AUS",0.0873080097127879,1.85,0.160754470865799
"2020-08","Australia",-45712,0,0,-0.0918013855640307,"AUS",0.0642263519956815,1.62,0.16025552278724
"2020-09","Australia",-45712,0,0,-1.90013032787507,"AUS",0.369923722474866,4.29,0.254687965383715
"2020-10","Australia",-45712,0,0,-0.939662760281021,"AUS",1.77644163053538,14.47,0.66592901527989
"2020-11","Australia",-45712,0,0,-0.453704321874238,"AUS",2.82815425303436,22.3,0.911883755217568
"2020-12","Australia",-32204,0,0,0.481374071293489,"AUS",1.79308399554215,15.51,0.65549779864129
"2021-01","Australia",-32204,0,0,-0.266466233301508,"AUS",2.37817493246726,18.73,0.813153334398905
"2021-02","Australia",-32204,0,0,-0.898635796635435,"AUS",1.54189596711182,14.24,0.580611997576857
"2021-03","Australia",-32204,0.0436354454151614,0.0436354454151614,0.765467842139572,"AUS",1.51711822486928,11.18,0.630977339444354
"2021-04","Australia",-32204,0.563906315530807,0.563906315530807,0.351720832101474,"AUS",1.71776810530034,10.84,0.723898459897711
"2021-05","Australia",-32204,1.20655902594833,1.20655902594833,-0.465514741887675,"AUS",1.73612853117172,10.31,0.749171223254464
"2021-06","Australia",-50708,3.25342179794627,3.25342179794627,0.536550515004427,"AUS",1.96382510527243,13.55,0.756078400216743
"2021-07","Australia",-50708,9.01617390890775,9.01617390890775,1.96344262781695,"AUS",0.362724574379706,4.33,0.245965280494075
"2021-08","Australia",-50708,18.4177033451381,18.4177033451381,1.71153106398105,"AUS",0.977240983096756,5.1,0.611372388500868
"2021-09","Australia",-50708,30.567938576683,30.6115740220981,0.922317920527068,"AUS",0.947021860462161,4.76,0.616019068731171
"2021-10","Australia",-50708,45.812041431207,46.3580244875336,0.219126894508538,"AUS",1.08361510678202,4.65,0.719941141526496
"2021-11","Australia",-50708,58.4325223517818,58.7417911685097,-0.492601258245655,"AUS",1.24927150909665,6.3,0.691395484801913
"2021-12","Australia",128623,63.606843338613,63.606843338613,1.68577251601585,"AUS",1.40703828726162,7.27,0.718429995968088
"2022-01","Australia",128623,65.5952560418751,65.5952560418751,2.32264800443782,"AUS",0.360646127781514,3.56,0.283613562983195
"2022-02","Australia",128623,66.7892016968832,66.7892016968832,-1.19988475848286,"AUS",0.326733976912087,3.47,0.265071798767924
"2019-12","Austria",-289999,0,0,NA,NA,NA,NA,NA
"2020-01","Austria",-289999,0,0,NA,"AUT",NA,NA,NA
"2020-02","Austria",-289999,0,0,NA,"AUT",0.796311640173813,3,0.72483409150576
"2020-03","Austria",-289999,0,0,7.03007123528938,"AUT",1.75432375079975,10.82,0.740866897424789
"2020-04","Austria",-289999,0,0,-0.657130736443253,"AUT",1.93319181897988,11.64,0.790050580512906
"2020-05","Austria",-289999,0,0,-1.4163312746035,"AUT",1.11382838667811,6,0.621639458759487
"2020-06","Austria",-273268,0,0,-0.211677095879374,"AUT",1.03972077083992,3,0.946394630357186
"2020-07","Austria",-273268,0,0,1.17872931539337,"AUT",2.04319187054512,9,0.929896694047616
"2020-08","Austria",-273268,0,0,0.628687926990091,"AUT",2.33073931615453,15.68,0.847660268906231
"2020-09","Austria",-273268,0,0,1.01321372235006,"AUT",1.89158358871413,11.11,0.786346514933053
"2020-10","Austria",-273268,0,0,1.24117709738076,"AUT",2.08405323514396,14.8,0.775534532229234
"2020-11","Austria",-273268,0,0,1.08293575272201,"AUT",2.31448031503357,17.04,0.818308621657658
"2020-12","Austria",-24274,0,0,-0.817844410171785,"AUT",2.18166468822636,13.81,0.833097623045681
