"month","country","date","F_I_BWP","GR_NCM_log_diff","NPI","travel","travel_route","code","sub_lineage","sub_richness","sub_evenness"
"2019-12","Argentina",18231,0,NA,NA,NA,56,NA,NA,NA,NA
"2020-01","Argentina",18262,0,NA,3.22548387096774,NA,1,"ARG",NA,NA,NA
"2020-02","Argentina",18293,0,NA,11.11,NA,382,"ARG",NA,NA,NA
"2020-03","Argentina",18322,0,NA,51.7025806451613,9431,3144,"ARG",1.03405608703728,3.22,0.896854967680653
"2020-04","Argentina",18353,0,1.16350653400461,98.457,10014,3338,"ARG",1.38902403576086,5.25,0.84552786834297
"2020-05","Argentina",18383,0,1.30345060910776,90.2625806451613,10587,3529,"ARG",1.07014298195964,6.16,0.594054251541374
"2020-06","Argentina",18414,0,1.34494145615125,89.1366666666667,10483,3494,"ARG",1.29715137572155,9,0.59035903252736
"2020-07","Argentina",18444,0,0.977899148046692,91.8738709677419,10591,3530,"ARG",1.36901772001613,10,0.594556841430775
"2020-08","Argentina",18475,0,0.580058897994943,88.2593548387097,10830,3610,"ARG",1.46443365522406,14,0.554907860011346
"2020-09","Argentina",18506,0,0.386491874484852,87.96,10430,3446,"ARG",1.57210396165929,8,0.756022196415919
"2020-10","Argentina",18536,0,0.22155917706573,83.9587096774193,8882,2653,"ARG",1.6504902443404,10,0.716798805552184
"2020-11","Argentina",18567,0,-0.479057215466927,79.6316666666667,5857,1721,"ARG",1.44965257155928,11,0.604552078651676
"2020-12","Argentina",18597,0,-0.248232555280184,79.17,6957,1824,"ARG",1.82535704164849,15,0.674048450396358
"2021-01","Argentina",18628,0.0630054520334182,0.406305630276064,79.17,6258,1754,"ARG",2.09174301545628,16,0.754436818803227
"2021-02","Argentina",18659,0.363544551790206,-0.515859400499478,78.4392857142857,7074,1736,"ARG",2.04382724279001,14,0.774453521662591
"2021-03","Argentina",18687,0.792595181165074,0.293030655871711,72.6993548387097,6597,1788,"ARG",2.55970904773869,22,0.828105432507938
"2021-04","Argentina",18718,1.26127084332997,0.956715589697021,76.385,5802,1670,"ARG",2.43794521336867,29,0.724006840046027
"2021-05","Argentina",18748,3.00627249510174,0.246719912399234,82.6906451612903,5901,1734,"ARG",1.9900430435509,18,0.688507642006372
"2021-06","Argentina",18779,5.55529348063732,-0.155476735392471,77.8093333333333,5836,1710,"ARG",1.62322933346485,19,0.551286457267448
"2021-07","Argentina",18809,8.5712279648715,-0.404746506084754,75,6623,1798,"ARG",2.14032360348874,32,0.617566849730161
"2021-08","Argentina",18840,16.5377796679686,-0.585284736278139,75.75,6907,1820,"ARG",2.31487467458045,47,0.60124309871972
"2021-09","Argentina",18871,29.6246273295002,-1.27797094508677,75.93,7195,1860,"ARG",2.76681614172493,38.78,0.756410011793492
"2021-10","Argentina",18901,38.1243899647776,-0.803881103810006,42.59,8025,1838,"ARG",2.38195192140941,21.85,0.773404466352656
"2021-11","Argentina",18932,44.0287340615207,0.273501131455285,42.59,10163,2039,"ARG",2.410570687013,23.31,0.766569789544066
"2021-12","Argentina",18962,50.6143626137493,2.04342971331314,39.9332258064516,11959,2340,"ARG",2.07472261300168,29,0.616139097291612
"2022-01","Argentina",18993,54.6700452160421,2.13025412362097,38.5335483870968,13857,2807,"ARG",2.08676875496392,10,0.906272155288949
"2022-02","Argentina",19024,57.4130994539757,-1.65228011782708,37.04,15424,3085,"ARG",NA,NA,NA
"2019-12","Australia",18231,0,NA,NA,NA,19,NA,NA,NA,NA
"2020-01","Australia",18262,0,NA,5.56,NA,501,"AUS",NA,NA,NA
"2020-02","Australia",18293,0,0.575364144903562,19.0572413793103,NA,970,"AUS",NA,NA,NA
"2020-03","Australia",18322,0,5.64677110882769,38.6487096774194,3783,1366,"AUS",2.09628489252133,10.83,0.8829558648663
"2020-04","Australia",18353,0,-0.719970424810738,71.1096666666667,1298,1298,"AUS",1.55359351212397,6.09,0.870204410109934
"2020-05","Australia",18383,0,-1.6217471629077,67.3522580645161,1135,1135,"AUS",0.526791857225558,1.76,1
"2020-06","Australia",18414,0,0.49882732569919,55.0143333333333,NA,306,"AUS",0.705754097985817,2.33,0.88246621893401
"2020-07","Australia",18444,0,2.56773100042341,69.8193548387097,NA,425,"AUS",0.101684503223295,1.94,0.174472436209951
"2020-08","Australia",18475,0,-0.0918013855640307,75.101935483871,NA,361,"AUS",0.0619132576044196,1.54,0.174887146728698
"2020-09","Australia",18506,0,-1.90013032787507,74.72,NA,987,"AUS",0.229392645660733,1.51,0.70101677096822
"2020-10","Australia",18536,0,-0.939662760281021,67.2232258064516,NA,3,"AUS",0.533723329031158,1.77,1
"2020-11","Australia",18567,0,-0.453704321874238,63.9183333333333,NA,503,"AUS",0.672352765143147,1.97,1
"2020-12","Australia",18597,0,0.481374071293489,65.9932258064516,NA,774,"AUS",0.742616055535627,2.29,0.96206592295387
"2021-01","Australia",18628,0,-0.266466233301508,60.6751612903226,NA,951,"AUS",0.554517744447956,1.8,1
"2021-02","Australia",18659,0,-0.898635796635435,62.4664285714286,NA,524,"AUS",0,1,NA
"2021-03","Australia",18687,0.0436354454151614,0.765467842139572,50.91,NA,584,"AUS",0.485203026391961,1.7,1
"2021-04","Australia",18718,0.563906315530807,0.351720832101474,49.1363333333333,1558,1558,"AUS",0.50599744180876,1.73,1
"2021-05","Australia",18748,1.20655902594833,-0.465514741887675,46.4293548387097,2130,2130,"AUS",0.540654800836757,1.78,1
"2021-06","Australia",18779,3.25342179794627,0.536550515004427,62.5,1861,1861,"AUS",0.8744495301758,2.53,0.966807682584636
"2021-07","Australia",18809,9.01617390890775,1.96344262781695,68.06,1287,1287,"AUS",0.320875588944042,2.54,0.367924305370607
"2021-08","Australia",18840,18.4177033451381,1.71153106398105,70.4470967741936,NA,32,"AUS",0.993619625524982,6.34,0.546718354465503
"2021-09","Australia",18871,30.567938576683,0.922317920527068,71.76,NA,632,"AUS",1.01392552782962,7.9,0.497871813600121
"2021-10","Australia",18901,45.812041431207,0.219126894508538,70.5074193548387,NA,417,"AUS",1.14319213449562,7.75,0.567852703304399
"2021-11","Australia",18932,58.4325223517818,-0.492601258245655,67.0713333333333,NA,611,"AUS",1.33575113795956,11.04,0.562089855629836
"2021-12","Australia",18962,63.606843338613,1.68577251601585,53.7806451612903,NA,730,"AUS",1.56919695526346,26.55,0.479562922313886
"2022-01","Australia",18993,65.5952560418751,2.32264800443782,53.3,NA,788,"AUS",0.403492431955394,10,0.175234536687951
"2022-02","Australia",19024,66.7892016968832,-1.19988475848286,49.5384,NA,218,"AUS",0.340273793835875,4,0.245455657455745
"2019-12","Austria",18231,0,NA,NA,NA,912,NA,NA,NA,NA
"2020-01","Austria",18262,0,NA,NA,NA,599,"AUT",NA,NA,NA
"2020-02","Austria",18293,0,NA,11.11,NA,319,"AUT",NA,NA,NA
"2020-03","Austria",18322,0,7.03007123528938,52.9261290322581,14977,3269,"AUT",1.7780047487653,10.91,0.747896197209666
"2020-04","Austria",18353,0,-0.657130736443253,78.642,16280,3329,"AUT",1.8234319535981,9.05,0.832032452511225
"2020-05","Austria",18383,0,-1.4163312746035,60.601935483871,26820,3887,"AUT",0.834282151577042,2.69,0.872594049861976
"2020-06","Austria",18414,0,-0.211677095879374,50.2466666666667,59921,5719,"AUT",1.03972077083992,3,0.946394630357186
"2020-07","Austria",18444,0,1.17872931539337,39.0370967741936,83332,7046,"AUT",2.02346660116068,8.79,0.931401018190087
"2020-08","Austria",18475,0,0.628687926990091,37.96,92657,7806,"AUT",2.22621614818852,12.69,0.877904345734785
"2020-09","Austria",18506,0,1.01321372235006,37.099,72662,6584,"AUT",1.92218998005053,12,0.77354615321848
"2020-10","Austria",18536,0,1.24117709738076,51.1654838709677,54205,5192,"AUT",2.24900971361092,25,0.698694151615186
"2020-11","Austria",18567,0,1.08293575272201,78.1183333333333,41178,4229,"AUT",2.58741394099989,39,0.706256422280583
"2020-12","Austria",18597,0,-0.817844410171785,75.6006451612903,34053,3934,"AUT",2.35005055325815,21,0.771894640729083
"2021-01","Austria",18628,0.0965029999999997,-0.380068977791385,82.41,32723,3769,"AUT",2.2352631444602,27.82,0.672787709214981
"2021-02","Austria",18659,1.97396223810487,-0.173636465771535,77.6807142857143,37770,4042,"AUT",1.67953054101584,20.76,0.554585220247902
"2021-03","Austria",18687,3.33957224422498,0.655884497706099,74.4054838709677,41147,4243,"AUT",0.736217345941203,16.45,0.263380483821739
"2021-04","Austria",18718,7.19223062993375,-0.177950384806916,77.775,42119,4241,"AUT",0.675888391334304,19.03,0.229614003964889
"2021-05","Austria",18748,12.4562433585512,-1.0295505878984,71.2074193548387,55057,5118,"AUT",0.613723725260907,8.28,0.291716967940642
"2021-06","Austria",18779,24.0014277440231,-1.53374817291048,62.689,72731,6512,"AUT",1.22760244705471,5.77,0.717988937039779
"2021-07","Austria",18809,40.8537200980151,0.434634698735417,49.07,97799,6617,"AUT",2.40793858476543,15.6,0.879198949611824
"2021-08","Austria",18840,49.202479121137,1.21897994641461,54.4058064516129,114510,6810,"AUT",2.57384998369109,28.37,0.77058746367559
"2021-09","Austria",18871,50.6569440580718,0.62766231049107,56.2053333333333,93510,6589,"AUT",2.82425727443456,43.76,0.747784222355785
"2021-10","Austria",18901,50.7084070341453,0.472532824555806,55.6164516129032,77285,6296,"AUT",2.60703708241949,37.56,0.719515062713753
"2021-11","Austria",18932,57.011012043562,1.32005978294537,58.4863333333333,63031,5446,"AUT",2.59552710052959,48,0.670470764296705
"2021-12","Austria",18962,61.8424601990437,-1.02014147608318,65.2003225806452,58973,5035,"AUT",2.46589690159215,37,0.682900293290358
"2022-01","Austria",18993,64.8042604769538,1.58181237982272,64.6922580645161,67673,5330,"AUT",2.23954862608715,31,0.652171511635823
"2022-02","Austria",19024,64.326955297449,0.356598332440972,59.038,68883,5219,"AUT",0,1,NA
"2019-12","Bangladesh",18231,0,NA,NA,NA,351,NA,NA,NA,NA
"2020-01","Bangladesh",18262,0,NA,NA,NA,492,"BGD",NA,NA,NA
"2020-02","Bangladesh",18293,0,NA,NA,NA,901,"BGD",NA,NA,NA
"2020-03","Bangladesh",18322,0,NA,46.5203448275862,15035,6084,"BGD",NA,NA,NA
"2020-04","Bangladesh",18353,0,5.00618094374687,91.4833333333333,17058,5765,"BGD",1.19696448344517,3.96,0.870804578146431
"2020-05","Bangladesh",18383,0,1.64569488121297,90.6193548387097,19275,6500,"BGD",1.07327775636512,8,0.51613749886813
"2020-06","Bangladesh",18414,0,0.912382990090027,68.75,21901,7407,"BGD",0.796075917726696,7,0.409102094520227
"2020-07","Bangladesh",18444,0,-0.0646076784154861,77.4045161290323,21290,7631,"BGD",0.779306778203281,7,0.400484461516177
"2020-08","Bangladesh",18475,0,-0.201776656123327,80.09,22533,7963,"BGD",0.916082505441352,6,0.511275381084509
"2020-09","Bangladesh",18506,0,-0.400308188309134,80.09,21291,7071,"BGD",0,1,NA
"2020-10","Bangladesh",18536,0,-0.132798741086349,80.09,20365,6788,"BGD",0.556646903582107,3,0.506681847020801
"2020-11","Bangladesh",18567,0,0.25855480246854,80.09,18318,6050,"BGD",1.04183626479663,7,0.535397929499681
"2020-12","Bangladesh",18597,0,-0.164221953805191,80.09,18277,6404,"BGD",0.438413630177592,5,0.272401704216436
"2021-01","Bangladesh",18628,0,-0.809135746709952,80.27,17283,6360,"BGD",0.746072626434824,5,0.463560986522599
"2021-02","Bangladesh",18659,0,-0.669164120276369,81.02,18684,5538,"BGD",1.41075117656626,7,0.724982691133575
"2021-03","Bangladesh",18687,0,1.77073102999424,81.1690322580645,18612,5757,"BGD",1.13240157848044,8,0.544570047189523
"2021-04","Bangladesh",18718,0.663427507036989,0.820508398950658,83.5153333333333,17583,6587,"BGD",0.992840577607906,8,0.47745539256942
"2021-05","Bangladesh",18748,1.54484544774405,-1.27263621660126,79.2096774193548,17877,6709,"BGD",1.21940424139842,11,0.508531066903252
"2021-06","Bangladesh",18779,1.77876212314343,1.00141502547438,78.702,15973,7696,"BGD",1.40991779245369,16,0.508520351808515
"2021-07","Bangladesh",18809,1.79916762035913,1.0928944285512,74.5825806451613,16218,7729,"BGD",1.98515668385129,34,0.562947738892175
"2021-08","Bangladesh",18840,2.34060011574952,-0.291796891685376,74.5206451612903,16295,7674,"BGD",1.77490038538937,30,0.521845746136021
"2021-09","Bangladesh",18871,5.62847484074036,-1.51334034298104,64.7533333333333,18496,4610,"BGD",2.16655378225476,28,0.650186318288384
"2021-10","Bangladesh",18901,7.26585009394824,-1.40051981843888,56.3935483870968,16733,5526,"BGD",1.83618777555115,13.03,0.717273563783289
"2021-11","Bangladesh",18932,12.2160909997939,-0.703325010139,42.2186666666667,16761,5594,"BGD",1.69665044813986,8.04,0.819996538025276
"2021-12","Bangladesh",18962,14.2783734053895,0.316362456365741,39.9641935483871,20756,3869,"BGD",1.33095518052919,7.88,0.649750188994529
"2022-01","Bangladesh",18993,22.5780816066741,3.13750754966099,56.8683870967742,20092,3713,"BGD",0.946047833685594,7,0.48617241353352
"2022-02","Bangladesh",19024,31.7385710146712,-0.387704830869653,68.52,19719,3581,"BGD",0,1,NA
"2019-12","Belgium",18231,0,NA,NA,NA,848,NA,NA,NA,NA
"2020-01","Belgium",18262,0,NA,NA,NA,554,"BEL",NA,NA,NA
"2020-02","Belgium",18293,0,NA,11.11,NA,755,"BEL",NA,NA,NA
"2020-03","Belgium",18322,0,9.45516713412153,49.2232258064516,28523,5705,"BEL",2.09007532898598,16.06,0.754176200246735
"2020-04","Belgium",18353,0,1.02897056774739,81.48,29550,6221,"BEL",2.35634366571812,21.68,0.767113036144257
"2020-05","Belgium",18383,0,-1.28769343508486,76.5522580645161,41508,7562,"BEL",2.00625138846473,11.61,0.821143660833049
"2020-06","Belgium",18414,0,-1.17485973332897,57.0666666666667,73657,11541,"BEL",1.75136836871898,7.02,0.905751638447583
"2020-07","Belgium",18444,0,0.877327372339295,51.1648387096774,112856,13354,"BEL",2.15175740453373,12.51,0.853524605983674
"2020-08","Belgium",18475,0,0.81129424971143,58.3616129032258,109881,11111,"BEL",1.88503451955828,15.04,0.697045389630629
"2020-09","Belgium",18506,0,0.700580811019728,52.5946666666667,92489,10621,"BEL",2.55749869671546,25.54,0.79023181935292
"2020-10","Belgium",18536,0,2.23604392563774,50.5064516129032,71982,9784,"BEL",1.97833049532562,27,0.600251340025828
"2020-11","Belgium",18567,0,-0.741079862631372,64.5063333333333,62016,9430,"BEL",2.1787254050149,22,0.70485133668992
"2020-12","Belgium",18597,0,-0.761703231227608,60.19,59217,10205,"BEL",2.25506215293966,24.71,0.703383054219917
"2021-01","Belgium",18628,0.0295232903225807,-0.0827832239321111,60.6367741935484,58603,9131,"BEL",2.14810407467203,34,0.610081148075008
"2021-02","Belgium",18659,1.78522334857956,-0.0367837333864056,62.96,56402,9354,"BEL",1.84953206963247,28.94,0.550523191491215
"2021-03","Belgium",18687,3.45774045902974,0.592281980223678,63.6770967741936,59869,10306,"BEL",0.937452121261596,19.11,0.318280875045556
"2021-04","Belgium",18718,5.57253419148247,-0.0289525430475379,69.2633333333333,62468,9480,"BEL",0.686097347046873,16.34,0.246542999413134
"2021-05","Belgium",18748,11.356079452032,-0.406560571329386,51.7654838709677,81428,10937,"BEL",0.759241031620548,17.39,0.266590234369303
"2021-06","Belgium",18779,25.2809797573307,-1.13236395160707,50.93,89425,10972,"BEL",1.49495373723267,18.4,0.514429206632328
"2021-07","Belgium",18809,42.0529268823285,0.53729451996673,50.6906451612903,114991,11468,"BEL",2.92441026898259,35.37,0.821064982204647
"2021-08","Belgium",18840,57.7292193643465,0.415069204557184,47.22,129357,9607,"BEL",2.93796678569183,45.65,0.769541016850685
"2021-09","Belgium",18871,61.2615097956912,0.00567205173405227,43.06,120795,10062,"BEL",2.69127012011348,43.69,0.71312980080627
"2021-10","Belgium",18901,63.6611479206157,0.651799808931282,43.3235483870968,108987,11292,"BEL",2.58587232744367,49.67,0.662494910431475
"2021-11","Belgium",18932,63.7851840947541,1.25387117140743,47.1273333333333,109411,11369,"BEL",2.49350098831144,68.17,0.590790748158936
"2021-12","Belgium",18962,67.6972250663761,-0.177928983373183,44.44,88801,11074,"BEL",2.58895477949943,66.47,0.617086827128766
"2022-01","Belgium",18993,69.060969221078,1.12953814116014,45.6954838709677,87836,9981,"BEL",2.63432796757963,34,0.747038752614884
"2022-02","Belgium",19024,63.941596133753,-0.959807752245272,49.075,87424,9928,"BEL",0.489015292809556,5,0.303842284956475
"2019-12","Brazil",18231,0,NA,NA,NA,706,NA,NA,NA,NA
"2020-01","Brazil",18262,0,NA,NA,NA,344,"BRA",NA,NA,NA
"2020-02","Brazil",18293,0,NA,5.56,NA,536,"BRA",NA,NA,NA
"2020-03","Brazil",18322,0,7.95770239566897,43.9964516129032,9119,1824,"BRA",1.52140895853752,6.6,0.817178813726808
"2020-04","Brazil",18353,0,2.65714055707578,75.0016666666667,10007,1810,"BRA",1.35232791393644,12.95,0.529522480212208
"2020-05","Brazil",18383,0,1.66110550769642,80.5412903225806,11893,1920,"BRA",1.42572526420905,11,0.594573616447064
"2020-06","Brazil",18414,0,0.759034017162934,77.31,14393,1956,"BRA",1.46367443143885,14,0.554620172519038
"2020-07","Brazil",18444,0,0.316730752123872,79.9745161290323,16019,2062,"BRA",1.3935179310847,13,0.543292571071979
"2020-08","Brazil",18475,0,-0.0107140456414054,72.0009677419355,17780,2196,"BRA",1.38436688635725,16,0.499304810429624
"2020-09","Brazil",18506,0,-0.321182507056216,69.1686666666667,17461,2294,"BRA",1.38729435920464,18,0.479970908729895
