"month","country","NI_diff","F_I_BWP","F_I","GR_NCM_log_diff","code","sub_lineage","sub_richness","sub_evenness"
"2019-12","Argentina",-1332687,0,0,NA,NA,NA,NA,NA
"2020-01","Argentina",-1332687,0,0,NA,"ARG",NA,NA,NA
"2020-02","Argentina",-1332687,0,0,NA,"ARG",NA,NA,NA
"2020-03","Argentina",-1332687,0,0,NA,"ARG",1.33591183117987,5.16,0.829421122316431
"2020-04","Argentina",-1332687,0,0,1.16350653400461,"ARG",1.52340611649829,7.37,0.767845236804494
"2020-05","Argentina",-1332687,0,0,1.30345060910776,"ARG",1.07830733294786,7.01,0.55877149880095
"2020-06","Argentina",-1315836,0,0,1.34494145615125,"ARG",1.20651325659009,5.94,0.688393326695337
"2020-07","Argentina",-1315836,0,0,0.977899148046692,"ARG",1.30307058828088,7.71,0.641539701758636
"2020-08","Argentina",-1315836,0,0,0.580058897994943,"ARG",1.38946784608681,9.55,0.619659085918764
"2020-09","Argentina",-1315836,0,0,0.386491874484852,"ARG",1.47547632091568,5.86,0.841273516287485
"2020-10","Argentina",-1315836,0,0,0.22155917706573,"ARG",1.57636781084092,7.54,0.786458684622329
"2020-11","Argentina",-1315836,0,0,-0.479057215466927,"ARG",1.33339061635313,6.69,0.710014042911464
"2020-12","Argentina",74995,0,0,-0.248232555280184,"ARG",1.64582023166998,8.92,0.757852401146897
"2021-01","Argentina",74995,0.0630054520334182,0.0630054520334182,0.406305630276064,"ARG",1.87659661468917,9.84,0.826161931995913
"2021-02","Argentina",74995,0.363544551790206,0.363544551790206,-0.515859400499478,"ARG",1.84239101605112,9.22,0.834078825879969
"2021-03","Argentina",74995,0.792595181165074,0.792595181165074,0.293030655871711,"ARG",2.45542707007739,17.61,0.857372383345786
"2021-04","Argentina",74995,1.26127084332997,1.26127084332997,0.956715589697021,"ARG",2.33740051478502,18.67,0.800178727570474
"2021-05","Argentina",74995,3.00627249510174,3.00627249510174,0.246719912399234,"ARG",1.93118828562601,13.33,0.747381408294228
"2021-06","Argentina",1024564,5.55529348063732,5.55529348063732,-0.155476735392471,"ARG",1.56775841149274,10.68,0.666807737202874
"2021-07","Argentina",1024564,8.5712279648715,8.63423341690491,-0.404746506084754,"ARG",2.06376589597245,20.66,0.683250604436019
"2021-08","Argentina",1024564,16.5377796679686,16.9013242197588,-0.585284736278139,"ARG",2.21496226329081,30.45,0.648969564593509
